site_id,site_name,month,month_name,site_type,population,ev_penetration_pct,has_university,climate_zone,avg_income_k,source_avg_daily_demand_kwh,source_avg_peak_kwh,source_avg_temp_f,site_description,transfer_notes,zero_shot_prompt
ALT_001,Altoona - Chestnut Ave Station,1,January,mid_size_city,43000,4.1,0,humid_continental,38,1430.94,98.21,33.64,"Mid-size post-industrial city in central PA. Blue-collar workforce. No major university. Colder winters due to elevation. Lower EV adoption than State College. Demand likely more residential-driven, with minimal event-based spikes.",Scale down university event effects. Reduce EV penetration factor. Apply elevation-based cold weather adjustment.,"You are an EV charging demand forecasting expert.

You have detailed data from a reference charging station:
  Site: State College, PA (university town, pop. 42,000, EV penetration 8.2%)
  Month: January
  Average daily demand: 1430.9 kWh
  Average peak hourly demand: 98.2 kWh
  Average temperature: 33.6°F

Target site with NO historical data:
  Mid-size post-industrial city in central PA. Blue-collar workforce. No major university. Colder winters due to elevation. Lower EV adoption than State College. Demand likely more residential-driven, with minimal event-based spikes.

Transfer guidance: Scale down university event effects. Reduce EV penetration factor. Apply elevation-based cold weather adjustment.

Question: Estimate the average daily EV charging demand (kWh) for Altoona - Chestnut Ave Station in January. Show your reasoning step by step, then give a final number."
ALT_001,Altoona - Chestnut Ave Station,2,February,mid_size_city,43000,4.1,0,humid_continental,38,1447.11,99.76,42.51,"Mid-size post-industrial city in central PA. Blue-collar workforce. No major university. Colder winters due to elevation. Lower EV adoption than State College. Demand likely more residential-driven, with minimal event-based spikes.",Scale down university event effects. Reduce EV penetration factor. Apply elevation-based cold weather adjustment.,"You are an EV charging demand forecasting expert.

You have detailed data from a reference charging station:
  Site: State College, PA (university town, pop. 42,000, EV penetration 8.2%)
  Month: February
  Average daily demand: 1447.1 kWh
  Average peak hourly demand: 99.8 kWh
  Average temperature: 42.5°F

Target site with NO historical data:
  Mid-size post-industrial city in central PA. Blue-collar workforce. No major university. Colder winters due to elevation. Lower EV adoption than State College. Demand likely more residential-driven, with minimal event-based spikes.

Transfer guidance: Scale down university event effects. Reduce EV penetration factor. Apply elevation-based cold weather adjustment.

Question: Estimate the average daily EV charging demand (kWh) for Altoona - Chestnut Ave Station in February. Show your reasoning step by step, then give a final number."
ALT_001,Altoona - Chestnut Ave Station,3,March,mid_size_city,43000,4.1,0,humid_continental,38,1646.98,112.27,54.8,"Mid-size post-industrial city in central PA. Blue-collar workforce. No major university. Colder winters due to elevation. Lower EV adoption than State College. Demand likely more residential-driven, with minimal event-based spikes.",Scale down university event effects. Reduce EV penetration factor. Apply elevation-based cold weather adjustment.,"You are an EV charging demand forecasting expert.

You have detailed data from a reference charging station:
  Site: State College, PA (university town, pop. 42,000, EV penetration 8.2%)
  Month: March
  Average daily demand: 1647.0 kWh
  Average peak hourly demand: 112.3 kWh
  Average temperature: 54.8°F

Target site with NO historical data:
  Mid-size post-industrial city in central PA. Blue-collar workforce. No major university. Colder winters due to elevation. Lower EV adoption than State College. Demand likely more residential-driven, with minimal event-based spikes.

Transfer guidance: Scale down university event effects. Reduce EV penetration factor. Apply elevation-based cold weather adjustment.

Question: Estimate the average daily EV charging demand (kWh) for Altoona - Chestnut Ave Station in March. Show your reasoning step by step, then give a final number."
ALT_001,Altoona - Chestnut Ave Station,4,April,mid_size_city,43000,4.1,0,humid_continental,38,1616.54,110.67,67.25,"Mid-size post-industrial city in central PA. Blue-collar workforce. No major university. Colder winters due to elevation. Lower EV adoption than State College. Demand likely more residential-driven, with minimal event-based spikes.",Scale down university event effects. Reduce EV penetration factor. Apply elevation-based cold weather adjustment.,"You are an EV charging demand forecasting expert.

You have detailed data from a reference charging station:
  Site: State College, PA (university town, pop. 42,000, EV penetration 8.2%)
  Month: April
  Average daily demand: 1616.5 kWh
  Average peak hourly demand: 110.7 kWh
  Average temperature: 67.3°F

Target site with NO historical data:
  Mid-size post-industrial city in central PA. Blue-collar workforce. No major university. Colder winters due to elevation. Lower EV adoption than State College. Demand likely more residential-driven, with minimal event-based spikes.

Transfer guidance: Scale down university event effects. Reduce EV penetration factor. Apply elevation-based cold weather adjustment.

Question: Estimate the average daily EV charging demand (kWh) for Altoona - Chestnut Ave Station in April. Show your reasoning step by step, then give a final number."
ALT_001,Altoona - Chestnut Ave Station,5,May,mid_size_city,43000,4.1,0,humid_continental,38,1652.46,113.21,76.64,"Mid-size post-industrial city in central PA. Blue-collar workforce. No major university. Colder winters due to elevation. Lower EV adoption than State College. Demand likely more residential-driven, with minimal event-based spikes.",Scale down university event effects. Reduce EV penetration factor. Apply elevation-based cold weather adjustment.,"You are an EV charging demand forecasting expert.

You have detailed data from a reference charging station:
  Site: State College, PA (university town, pop. 42,000, EV penetration 8.2%)
  Month: May
  Average daily demand: 1652.5 kWh
  Average peak hourly demand: 113.2 kWh
  Average temperature: 76.6°F

Target site with NO historical data:
  Mid-size post-industrial city in central PA. Blue-collar workforce. No major university. Colder winters due to elevation. Lower EV adoption than State College. Demand likely more residential-driven, with minimal event-based spikes.

Transfer guidance: Scale down university event effects. Reduce EV penetration factor. Apply elevation-based cold weather adjustment.

Question: Estimate the average daily EV charging demand (kWh) for Altoona - Chestnut Ave Station in May. Show your reasoning step by step, then give a final number."
ALT_001,Altoona - Chestnut Ave Station,6,June,mid_size_city,43000,4.1,0,humid_continental,38,1948.74,132.66,79.96,"Mid-size post-industrial city in central PA. Blue-collar workforce. No major university. Colder winters due to elevation. Lower EV adoption than State College. Demand likely more residential-driven, with minimal event-based spikes.",Scale down university event effects. Reduce EV penetration factor. Apply elevation-based cold weather adjustment.,"You are an EV charging demand forecasting expert.

You have detailed data from a reference charging station:
  Site: State College, PA (university town, pop. 42,000, EV penetration 8.2%)
  Month: June
  Average daily demand: 1948.7 kWh
  Average peak hourly demand: 132.7 kWh
  Average temperature: 80.0°F

Target site with NO historical data:
  Mid-size post-industrial city in central PA. Blue-collar workforce. No major university. Colder winters due to elevation. Lower EV adoption than State College. Demand likely more residential-driven, with minimal event-based spikes.

Transfer guidance: Scale down university event effects. Reduce EV penetration factor. Apply elevation-based cold weather adjustment.

Question: Estimate the average daily EV charging demand (kWh) for Altoona - Chestnut Ave Station in June. Show your reasoning step by step, then give a final number."
ALT_001,Altoona - Chestnut Ave Station,7,July,mid_size_city,43000,4.1,0,humid_continental,38,1889.59,129.03,76.58,"Mid-size post-industrial city in central PA. Blue-collar workforce. No major university. Colder winters due to elevation. Lower EV adoption than State College. Demand likely more residential-driven, with minimal event-based spikes.",Scale down university event effects. Reduce EV penetration factor. Apply elevation-based cold weather adjustment.,"You are an EV charging demand forecasting expert.

You have detailed data from a reference charging station:
  Site: State College, PA (university town, pop. 42,000, EV penetration 8.2%)
  Month: July
  Average daily demand: 1889.6 kWh
  Average peak hourly demand: 129.0 kWh
  Average temperature: 76.6°F

Target site with NO historical data:
  Mid-size post-industrial city in central PA. Blue-collar workforce. No major university. Colder winters due to elevation. Lower EV adoption than State College. Demand likely more residential-driven, with minimal event-based spikes.

Transfer guidance: Scale down university event effects. Reduce EV penetration factor. Apply elevation-based cold weather adjustment.

Question: Estimate the average daily EV charging demand (kWh) for Altoona - Chestnut Ave Station in July. Show your reasoning step by step, then give a final number."
ALT_001,Altoona - Chestnut Ave Station,8,August,mid_size_city,43000,4.1,0,humid_continental,38,1947.25,132.72,67.48,"Mid-size post-industrial city in central PA. Blue-collar workforce. No major university. Colder winters due to elevation. Lower EV adoption than State College. Demand likely more residential-driven, with minimal event-based spikes.",Scale down university event effects. Reduce EV penetration factor. Apply elevation-based cold weather adjustment.,"You are an EV charging demand forecasting expert.

You have detailed data from a reference charging station:
  Site: State College, PA (university town, pop. 42,000, EV penetration 8.2%)
  Month: August
  Average daily demand: 1947.2 kWh
  Average peak hourly demand: 132.7 kWh
  Average temperature: 67.5°F

Target site with NO historical data:
  Mid-size post-industrial city in central PA. Blue-collar workforce. No major university. Colder winters due to elevation. Lower EV adoption than State College. Demand likely more residential-driven, with minimal event-based spikes.

Transfer guidance: Scale down university event effects. Reduce EV penetration factor. Apply elevation-based cold weather adjustment.

Question: Estimate the average daily EV charging demand (kWh) for Altoona - Chestnut Ave Station in August. Show your reasoning step by step, then give a final number."
ALT_001,Altoona - Chestnut Ave Station,9,September,mid_size_city,43000,4.1,0,humid_continental,38,1680.63,114.74,55.09,"Mid-size post-industrial city in central PA. Blue-collar workforce. No major university. Colder winters due to elevation. Lower EV adoption than State College. Demand likely more residential-driven, with minimal event-based spikes.",Scale down university event effects. Reduce EV penetration factor. Apply elevation-based cold weather adjustment.,"You are an EV charging demand forecasting expert.

You have detailed data from a reference charging station:
  Site: State College, PA (university town, pop. 42,000, EV penetration 8.2%)
  Month: September
  Average daily demand: 1680.6 kWh
  Average peak hourly demand: 114.7 kWh
  Average temperature: 55.1°F

Target site with NO historical data:
  Mid-size post-industrial city in central PA. Blue-collar workforce. No major university. Colder winters due to elevation. Lower EV adoption than State College. Demand likely more residential-driven, with minimal event-based spikes.

Transfer guidance: Scale down university event effects. Reduce EV penetration factor. Apply elevation-based cold weather adjustment.

Question: Estimate the average daily EV charging demand (kWh) for Altoona - Chestnut Ave Station in September. Show your reasoning step by step, then give a final number."
ALT_001,Altoona - Chestnut Ave Station,10,October,mid_size_city,43000,4.1,0,humid_continental,38,1660.35,113.8,42.84,"Mid-size post-industrial city in central PA. Blue-collar workforce. No major university. Colder winters due to elevation. Lower EV adoption than State College. Demand likely more residential-driven, with minimal event-based spikes.",Scale down university event effects. Reduce EV penetration factor. Apply elevation-based cold weather adjustment.,"You are an EV charging demand forecasting expert.

You have detailed data from a reference charging station:
  Site: State College, PA (university town, pop. 42,000, EV penetration 8.2%)
  Month: October
  Average daily demand: 1660.4 kWh
  Average peak hourly demand: 113.8 kWh
  Average temperature: 42.8°F

Target site with NO historical data:
  Mid-size post-industrial city in central PA. Blue-collar workforce. No major university. Colder winters due to elevation. Lower EV adoption than State College. Demand likely more residential-driven, with minimal event-based spikes.

Transfer guidance: Scale down university event effects. Reduce EV penetration factor. Apply elevation-based cold weather adjustment.

Question: Estimate the average daily EV charging demand (kWh) for Altoona - Chestnut Ave Station in October. Show your reasoning step by step, then give a final number."
ALT_001,Altoona - Chestnut Ave Station,11,November,mid_size_city,43000,4.1,0,humid_continental,38,1684.24,114.94,33.28,"Mid-size post-industrial city in central PA. Blue-collar workforce. No major university. Colder winters due to elevation. Lower EV adoption than State College. Demand likely more residential-driven, with minimal event-based spikes.",Scale down university event effects. Reduce EV penetration factor. Apply elevation-based cold weather adjustment.,"You are an EV charging demand forecasting expert.

You have detailed data from a reference charging station:
  Site: State College, PA (university town, pop. 42,000, EV penetration 8.2%)
  Month: November
  Average daily demand: 1684.2 kWh
  Average peak hourly demand: 114.9 kWh
  Average temperature: 33.3°F

Target site with NO historical data:
  Mid-size post-industrial city in central PA. Blue-collar workforce. No major university. Colder winters due to elevation. Lower EV adoption than State College. Demand likely more residential-driven, with minimal event-based spikes.

Transfer guidance: Scale down university event effects. Reduce EV penetration factor. Apply elevation-based cold weather adjustment.

Question: Estimate the average daily EV charging demand (kWh) for Altoona - Chestnut Ave Station in November. Show your reasoning step by step, then give a final number."
ALT_001,Altoona - Chestnut Ave Station,12,December,mid_size_city,43000,4.1,0,humid_continental,38,1415.21,97.2,30.05,"Mid-size post-industrial city in central PA. Blue-collar workforce. No major university. Colder winters due to elevation. Lower EV adoption than State College. Demand likely more residential-driven, with minimal event-based spikes.",Scale down university event effects. Reduce EV penetration factor. Apply elevation-based cold weather adjustment.,"You are an EV charging demand forecasting expert.

You have detailed data from a reference charging station:
  Site: State College, PA (university town, pop. 42,000, EV penetration 8.2%)
  Month: December
  Average daily demand: 1415.2 kWh
  Average peak hourly demand: 97.2 kWh
  Average temperature: 30.0°F

Target site with NO historical data:
  Mid-size post-industrial city in central PA. Blue-collar workforce. No major university. Colder winters due to elevation. Lower EV adoption than State College. Demand likely more residential-driven, with minimal event-based spikes.

Transfer guidance: Scale down university event effects. Reduce EV penetration factor. Apply elevation-based cold weather adjustment.

Question: Estimate the average daily EV charging demand (kWh) for Altoona - Chestnut Ave Station in December. Show your reasoning step by step, then give a final number."
HAR_001,Harrisburg - Market St Station,1,January,state_capital,50000,6.8,0,humid_subtropical_transition,44,1430.94,98.21,33.64,State capital with strong weekday government commuter demand. Higher income than Altoona. Warmer summers. Sharp weekday vs weekend contrast expected due to government workers. Conference and legislative events cause periodic spikes.,Strong Mon-Fri pattern. Replace PSU games with government events. Slightly warmer temperature profile.,"You are an EV charging demand forecasting expert.

You have detailed data from a reference charging station:
  Site: State College, PA (university town, pop. 42,000, EV penetration 8.2%)
  Month: January
  Average daily demand: 1430.9 kWh
  Average peak hourly demand: 98.2 kWh
  Average temperature: 33.6°F

Target site with NO historical data:
  State capital with strong weekday government commuter demand. Higher income than Altoona. Warmer summers. Sharp weekday vs weekend contrast expected due to government workers. Conference and legislative events cause periodic spikes.

Transfer guidance: Strong Mon-Fri pattern. Replace PSU games with government events. Slightly warmer temperature profile.

Question: Estimate the average daily EV charging demand (kWh) for Harrisburg - Market St Station in January. Show your reasoning step by step, then give a final number."
HAR_001,Harrisburg - Market St Station,2,February,state_capital,50000,6.8,0,humid_subtropical_transition,44,1447.11,99.76,42.51,State capital with strong weekday government commuter demand. Higher income than Altoona. Warmer summers. Sharp weekday vs weekend contrast expected due to government workers. Conference and legislative events cause periodic spikes.,Strong Mon-Fri pattern. Replace PSU games with government events. Slightly warmer temperature profile.,"You are an EV charging demand forecasting expert.

You have detailed data from a reference charging station:
  Site: State College, PA (university town, pop. 42,000, EV penetration 8.2%)
  Month: February
  Average daily demand: 1447.1 kWh
  Average peak hourly demand: 99.8 kWh
  Average temperature: 42.5°F

Target site with NO historical data:
  State capital with strong weekday government commuter demand. Higher income than Altoona. Warmer summers. Sharp weekday vs weekend contrast expected due to government workers. Conference and legislative events cause periodic spikes.

Transfer guidance: Strong Mon-Fri pattern. Replace PSU games with government events. Slightly warmer temperature profile.

Question: Estimate the average daily EV charging demand (kWh) for Harrisburg - Market St Station in February. Show your reasoning step by step, then give a final number."
HAR_001,Harrisburg - Market St Station,3,March,state_capital,50000,6.8,0,humid_subtropical_transition,44,1646.98,112.27,54.8,State capital with strong weekday government commuter demand. Higher income than Altoona. Warmer summers. Sharp weekday vs weekend contrast expected due to government workers. Conference and legislative events cause periodic spikes.,Strong Mon-Fri pattern. Replace PSU games with government events. Slightly warmer temperature profile.,"You are an EV charging demand forecasting expert.

You have detailed data from a reference charging station:
  Site: State College, PA (university town, pop. 42,000, EV penetration 8.2%)
  Month: March
  Average daily demand: 1647.0 kWh
  Average peak hourly demand: 112.3 kWh
  Average temperature: 54.8°F

Target site with NO historical data:
  State capital with strong weekday government commuter demand. Higher income than Altoona. Warmer summers. Sharp weekday vs weekend contrast expected due to government workers. Conference and legislative events cause periodic spikes.

Transfer guidance: Strong Mon-Fri pattern. Replace PSU games with government events. Slightly warmer temperature profile.

Question: Estimate the average daily EV charging demand (kWh) for Harrisburg - Market St Station in March. Show your reasoning step by step, then give a final number."
HAR_001,Harrisburg - Market St Station,4,April,state_capital,50000,6.8,0,humid_subtropical_transition,44,1616.54,110.67,67.25,State capital with strong weekday government commuter demand. Higher income than Altoona. Warmer summers. Sharp weekday vs weekend contrast expected due to government workers. Conference and legislative events cause periodic spikes.,Strong Mon-Fri pattern. Replace PSU games with government events. Slightly warmer temperature profile.,"You are an EV charging demand forecasting expert.

You have detailed data from a reference charging station:
  Site: State College, PA (university town, pop. 42,000, EV penetration 8.2%)
  Month: April
  Average daily demand: 1616.5 kWh
  Average peak hourly demand: 110.7 kWh
  Average temperature: 67.3°F

Target site with NO historical data:
  State capital with strong weekday government commuter demand. Higher income than Altoona. Warmer summers. Sharp weekday vs weekend contrast expected due to government workers. Conference and legislative events cause periodic spikes.

Transfer guidance: Strong Mon-Fri pattern. Replace PSU games with government events. Slightly warmer temperature profile.

Question: Estimate the average daily EV charging demand (kWh) for Harrisburg - Market St Station in April. Show your reasoning step by step, then give a final number."
HAR_001,Harrisburg - Market St Station,5,May,state_capital,50000,6.8,0,humid_subtropical_transition,44,1652.46,113.21,76.64,State capital with strong weekday government commuter demand. Higher income than Altoona. Warmer summers. Sharp weekday vs weekend contrast expected due to government workers. Conference and legislative events cause periodic spikes.,Strong Mon-Fri pattern. Replace PSU games with government events. Slightly warmer temperature profile.,"You are an EV charging demand forecasting expert.

You have detailed data from a reference charging station:
  Site: State College, PA (university town, pop. 42,000, EV penetration 8.2%)
  Month: May
  Average daily demand: 1652.5 kWh
  Average peak hourly demand: 113.2 kWh
  Average temperature: 76.6°F

Target site with NO historical data:
  State capital with strong weekday government commuter demand. Higher income than Altoona. Warmer summers. Sharp weekday vs weekend contrast expected due to government workers. Conference and legislative events cause periodic spikes.

Transfer guidance: Strong Mon-Fri pattern. Replace PSU games with government events. Slightly warmer temperature profile.

Question: Estimate the average daily EV charging demand (kWh) for Harrisburg - Market St Station in May. Show your reasoning step by step, then give a final number."
HAR_001,Harrisburg - Market St Station,6,June,state_capital,50000,6.8,0,humid_subtropical_transition,44,1948.74,132.66,79.96,State capital with strong weekday government commuter demand. Higher income than Altoona. Warmer summers. Sharp weekday vs weekend contrast expected due to government workers. Conference and legislative events cause periodic spikes.,Strong Mon-Fri pattern. Replace PSU games with government events. Slightly warmer temperature profile.,"You are an EV charging demand forecasting expert.

You have detailed data from a reference charging station:
  Site: State College, PA (university town, pop. 42,000, EV penetration 8.2%)
  Month: June
  Average daily demand: 1948.7 kWh
  Average peak hourly demand: 132.7 kWh
  Average temperature: 80.0°F

Target site with NO historical data:
  State capital with strong weekday government commuter demand. Higher income than Altoona. Warmer summers. Sharp weekday vs weekend contrast expected due to government workers. Conference and legislative events cause periodic spikes.

Transfer guidance: Strong Mon-Fri pattern. Replace PSU games with government events. Slightly warmer temperature profile.

Question: Estimate the average daily EV charging demand (kWh) for Harrisburg - Market St Station in June. Show your reasoning step by step, then give a final number."
HAR_001,Harrisburg - Market St Station,7,July,state_capital,50000,6.8,0,humid_subtropical_transition,44,1889.59,129.03,76.58,State capital with strong weekday government commuter demand. Higher income than Altoona. Warmer summers. Sharp weekday vs weekend contrast expected due to government workers. Conference and legislative events cause periodic spikes.,Strong Mon-Fri pattern. Replace PSU games with government events. Slightly warmer temperature profile.,"You are an EV charging demand forecasting expert.

You have detailed data from a reference charging station:
  Site: State College, PA (university town, pop. 42,000, EV penetration 8.2%)
  Month: July
  Average daily demand: 1889.6 kWh
  Average peak hourly demand: 129.0 kWh
  Average temperature: 76.6°F

Target site with NO historical data:
  State capital with strong weekday government commuter demand. Higher income than Altoona. Warmer summers. Sharp weekday vs weekend contrast expected due to government workers. Conference and legislative events cause periodic spikes.

Transfer guidance: Strong Mon-Fri pattern. Replace PSU games with government events. Slightly warmer temperature profile.

Question: Estimate the average daily EV charging demand (kWh) for Harrisburg - Market St Station in July. Show your reasoning step by step, then give a final number."
HAR_001,Harrisburg - Market St Station,8,August,state_capital,50000,6.8,0,humid_subtropical_transition,44,1947.25,132.72,67.48,State capital with strong weekday government commuter demand. Higher income than Altoona. Warmer summers. Sharp weekday vs weekend contrast expected due to government workers. Conference and legislative events cause periodic spikes.,Strong Mon-Fri pattern. Replace PSU games with government events. Slightly warmer temperature profile.,"You are an EV charging demand forecasting expert.

You have detailed data from a reference charging station:
  Site: State College, PA (university town, pop. 42,000, EV penetration 8.2%)
  Month: August
  Average daily demand: 1947.2 kWh
  Average peak hourly demand: 132.7 kWh
  Average temperature: 67.5°F

Target site with NO historical data:
  State capital with strong weekday government commuter demand. Higher income than Altoona. Warmer summers. Sharp weekday vs weekend contrast expected due to government workers. Conference and legislative events cause periodic spikes.

Transfer guidance: Strong Mon-Fri pattern. Replace PSU games with government events. Slightly warmer temperature profile.

Question: Estimate the average daily EV charging demand (kWh) for Harrisburg - Market St Station in August. Show your reasoning step by step, then give a final number."
HAR_001,Harrisburg - Market St Station,9,September,state_capital,50000,6.8,0,humid_subtropical_transition,44,1680.63,114.74,55.09,State capital with strong weekday government commuter demand. Higher income than Altoona. Warmer summers. Sharp weekday vs weekend contrast expected due to government workers. Conference and legislative events cause periodic spikes.,Strong Mon-Fri pattern. Replace PSU games with government events. Slightly warmer temperature profile.,"You are an EV charging demand forecasting expert.

You have detailed data from a reference charging station:
  Site: State College, PA (university town, pop. 42,000, EV penetration 8.2%)
  Month: September
  Average daily demand: 1680.6 kWh
  Average peak hourly demand: 114.7 kWh
  Average temperature: 55.1°F

Target site with NO historical data:
  State capital with strong weekday government commuter demand. Higher income than Altoona. Warmer summers. Sharp weekday vs weekend contrast expected due to government workers. Conference and legislative events cause periodic spikes.

Transfer guidance: Strong Mon-Fri pattern. Replace PSU games with government events. Slightly warmer temperature profile.

Question: Estimate the average daily EV charging demand (kWh) for Harrisburg - Market St Station in September. Show your reasoning step by step, then give a final number."
HAR_001,Harrisburg - Market St Station,10,October,state_capital,50000,6.8,0,humid_subtropical_transition,44,1660.35,113.8,42.84,State capital with strong weekday government commuter demand. Higher income than Altoona. Warmer summers. Sharp weekday vs weekend contrast expected due to government workers. Conference and legislative events cause periodic spikes.,Strong Mon-Fri pattern. Replace PSU games with government events. Slightly warmer temperature profile.,"You are an EV charging demand forecasting expert.

You have detailed data from a reference charging station:
  Site: State College, PA (university town, pop. 42,000, EV penetration 8.2%)
  Month: October
  Average daily demand: 1660.4 kWh
  Average peak hourly demand: 113.8 kWh
  Average temperature: 42.8°F

Target site with NO historical data:
  State capital with strong weekday government commuter demand. Higher income than Altoona. Warmer summers. Sharp weekday vs weekend contrast expected due to government workers. Conference and legislative events cause periodic spikes.

Transfer guidance: Strong Mon-Fri pattern. Replace PSU games with government events. Slightly warmer temperature profile.

Question: Estimate the average daily EV charging demand (kWh) for Harrisburg - Market St Station in October. Show your reasoning step by step, then give a final number."
HAR_001,Harrisburg - Market St Station,11,November,state_capital,50000,6.8,0,humid_subtropical_transition,44,1684.24,114.94,33.28,State capital with strong weekday government commuter demand. Higher income than Altoona. Warmer summers. Sharp weekday vs weekend contrast expected due to government workers. Conference and legislative events cause periodic spikes.,Strong Mon-Fri pattern. Replace PSU games with government events. Slightly warmer temperature profile.,"You are an EV charging demand forecasting expert.

You have detailed data from a reference charging station:
  Site: State College, PA (university town, pop. 42,000, EV penetration 8.2%)
  Month: November
  Average daily demand: 1684.2 kWh
  Average peak hourly demand: 114.9 kWh
  Average temperature: 33.3°F

Target site with NO historical data:
  State capital with strong weekday government commuter demand. Higher income than Altoona. Warmer summers. Sharp weekday vs weekend contrast expected due to government workers. Conference and legislative events cause periodic spikes.

Transfer guidance: Strong Mon-Fri pattern. Replace PSU games with government events. Slightly warmer temperature profile.

Question: Estimate the average daily EV charging demand (kWh) for Harrisburg - Market St Station in November. Show your reasoning step by step, then give a final number."
HAR_001,Harrisburg - Market St Station,12,December,state_capital,50000,6.8,0,humid_subtropical_transition,44,1415.21,97.2,30.05,State capital with strong weekday government commuter demand. Higher income than Altoona. Warmer summers. Sharp weekday vs weekend contrast expected due to government workers. Conference and legislative events cause periodic spikes.,Strong Mon-Fri pattern. Replace PSU games with government events. Slightly warmer temperature profile.,"You are an EV charging demand forecasting expert.

You have detailed data from a reference charging station:
  Site: State College, PA (university town, pop. 42,000, EV penetration 8.2%)
  Month: December
  Average daily demand: 1415.2 kWh
  Average peak hourly demand: 97.2 kWh
  Average temperature: 30.0°F

Target site with NO historical data:
  State capital with strong weekday government commuter demand. Higher income than Altoona. Warmer summers. Sharp weekday vs weekend contrast expected due to government workers. Conference and legislative events cause periodic spikes.

Transfer guidance: Strong Mon-Fri pattern. Replace PSU games with government events. Slightly warmer temperature profile.

Question: Estimate the average daily EV charging demand (kWh) for Harrisburg - Market St Station in December. Show your reasoning step by step, then give a final number."
ERI_001,Erie - Peach St Station,1,January,lakeside_city,94000,3.8,0,lake_effect,36,1430.94,98.21,33.64,Largest city in northwestern PA. Lake Erie causes heavy lake-effect snow and cold temperatures — significant battery range reduction in winter. Tourism spikes in summer (Presque Isle State Park). Lower income and EV adoption than central PA. Industrial shift-work patterns.,Apply lake-effect winter penalty (-15% demand Dec-Feb due to range anxiety). Add summer tourism boost (Jul-Aug). Flatten event spikes.,"You are an EV charging demand forecasting expert.

You have detailed data from a reference charging station:
  Site: State College, PA (university town, pop. 42,000, EV penetration 8.2%)
  Month: January
  Average daily demand: 1430.9 kWh
  Average peak hourly demand: 98.2 kWh
  Average temperature: 33.6°F

Target site with NO historical data:
  Largest city in northwestern PA. Lake Erie causes heavy lake-effect snow and cold temperatures — significant battery range reduction in winter. Tourism spikes in summer (Presque Isle State Park). Lower income and EV adoption than central PA. Industrial shift-work patterns.

Transfer guidance: Apply lake-effect winter penalty (-15% demand Dec-Feb due to range anxiety). Add summer tourism boost (Jul-Aug). Flatten event spikes.

Question: Estimate the average daily EV charging demand (kWh) for Erie - Peach St Station in January. Show your reasoning step by step, then give a final number."
ERI_001,Erie - Peach St Station,2,February,lakeside_city,94000,3.8,0,lake_effect,36,1447.11,99.76,42.51,Largest city in northwestern PA. Lake Erie causes heavy lake-effect snow and cold temperatures — significant battery range reduction in winter. Tourism spikes in summer (Presque Isle State Park). Lower income and EV adoption than central PA. Industrial shift-work patterns.,Apply lake-effect winter penalty (-15% demand Dec-Feb due to range anxiety). Add summer tourism boost (Jul-Aug). Flatten event spikes.,"You are an EV charging demand forecasting expert.

You have detailed data from a reference charging station:
  Site: State College, PA (university town, pop. 42,000, EV penetration 8.2%)
  Month: February
  Average daily demand: 1447.1 kWh
  Average peak hourly demand: 99.8 kWh
  Average temperature: 42.5°F

Target site with NO historical data:
  Largest city in northwestern PA. Lake Erie causes heavy lake-effect snow and cold temperatures — significant battery range reduction in winter. Tourism spikes in summer (Presque Isle State Park). Lower income and EV adoption than central PA. Industrial shift-work patterns.

Transfer guidance: Apply lake-effect winter penalty (-15% demand Dec-Feb due to range anxiety). Add summer tourism boost (Jul-Aug). Flatten event spikes.

Question: Estimate the average daily EV charging demand (kWh) for Erie - Peach St Station in February. Show your reasoning step by step, then give a final number."
