date,total_demand,peak_demand,avg_temp,is_weekend,month,event_name,event_type,context_text,next_day_demand
2023-01-01,732.53,55.6,32.47083333333333,1,1,New Year's Day,holiday,Date: 2023-01-01. Winter weekend. Average temperature: 32.5°F (cold). Public holiday today. Reduced commercial activity; residential demand dominant.,1562.26
2023-01-02,1562.26,111.05,32.5125,0,1,,none,Date: 2023-01-02. Winter weekday. Average temperature: 32.5°F (cold). Regular weekday. Normal commuting and commercial activity expected.,1566.09
2023-01-03,1566.09,105.65,33.425000000000004,0,1,,none,Date: 2023-01-03. Winter weekday. Average temperature: 33.4°F (cold). Standard operations. Weather-driven variation expected.,1585.42
2023-01-04,1585.42,106.35,32.666666666666664,0,1,,none,Date: 2023-01-04. Winter weekday. Average temperature: 32.7°F (cold). Typical day. No special events. Demand follows seasonal baseline.,1576.79
2023-01-05,1576.79,108.85,31.491666666666664,0,1,,none,Date: 2023-01-05. Winter weekday. Average temperature: 31.5°F (cold). Regular weekday. Normal commuting and commercial activity expected.,1542.19
2023-01-06,1542.19,102.29,34.94583333333333,0,1,,none,Date: 2023-01-06. Winter weekday. Average temperature: 34.9°F (cold). Regular weekday. Normal commuting and commercial activity expected.,1188.27
2023-01-07,1188.27,87.44,34.449999999999996,1,1,,none,Date: 2023-01-07. Winter weekend. Average temperature: 34.4°F (cold). Regular weekday. Normal commuting and commercial activity expected.,1117.97
2023-01-08,1117.97,80.38,33.44166666666667,1,1,,none,Date: 2023-01-08. Winter weekend. Average temperature: 33.4°F (cold). Standard operations. Weather-driven variation expected.,1501.46
2023-01-09,1501.46,107.72,33.3125,0,1,,none,Date: 2023-01-09. Winter weekday. Average temperature: 33.3°F (cold). Regular weekday. Normal commuting and commercial activity expected.,1547.95
2023-01-10,1547.95,111.02,33.949999999999996,0,1,,none,Date: 2023-01-10. Winter weekday. Average temperature: 33.9°F (cold). Standard operations. Weather-driven variation expected.,1573.01
2023-01-11,1573.01,102.75,32.68333333333333,0,1,,none,Date: 2023-01-11. Winter weekday. Average temperature: 32.7°F (cold). Standard operations. Weather-driven variation expected.,1522.29
2023-01-12,1522.29,104.86,33.43333333333333,0,1,,none,Date: 2023-01-12. Winter weekday. Average temperature: 33.4°F (cold). Standard operations. Weather-driven variation expected.,1586.4
2023-01-13,1586.4,108.94,32.59583333333333,0,1,,none,Date: 2023-01-13. Winter weekday. Average temperature: 32.6°F (cold). Regular weekday. Normal commuting and commercial activity expected.,1196.75
2023-01-14,1196.75,89.02,32.49583333333333,1,1,,none,Date: 2023-01-14. Winter weekend. Average temperature: 32.5°F (cold). Standard operations. Weather-driven variation expected.,1232.18
2023-01-15,1232.18,81.78,33.699999999999996,1,1,,none,Date: 2023-01-15. Winter weekend. Average temperature: 33.7°F (cold). Typical day. No special events. Demand follows seasonal baseline.,1007.0
2023-01-16,1007.0,72.98,33.62916666666667,0,1,MLK Day,holiday,Date: 2023-01-16. Winter weekday. Average temperature: 33.6°F (cold). Public holiday today. Reduced commercial activity; residential demand dominant.,1572.2
