date,prompt,ground_truth_demand_kwh,reference_answer,event_type
2023-01-08,"You are an EV charging demand forecasting assistant.

Historical daily demand (kWh) for the past 7 days: [732.5, 1562.3, 1566.1, 1585.4, 1576.8, 1542.2, 1188.3]
Context for tomorrow: Date: 2023-01-08. Winter weekend. Average temperature: 33.4°F (cold). Standard operations. Weather-driven variation expected.

Question: What is the predicted total charging demand (kWh) for tomorrow? Provide a number and a brief explanation.",1501.46,Predicted demand: 1501.5 kWh. Based on the 7-day average of 1393.4 kWh and contextual factors including none conditions.,none
2023-01-09,"You are an EV charging demand forecasting assistant.

Historical daily demand (kWh) for the past 7 days: [1562.3, 1566.1, 1585.4, 1576.8, 1542.2, 1188.3, 1118.0]
Context for tomorrow: Date: 2023-01-09. Winter weekday. Average temperature: 33.3°F (cold). Regular weekday. Normal commuting and commercial activity expected.

Question: What is the predicted total charging demand (kWh) for tomorrow? Provide a number and a brief explanation.",1547.95,Predicted demand: 1548.0 kWh. Based on the 7-day average of 1448.4 kWh and contextual factors including none conditions.,none
2023-01-10,"You are an EV charging demand forecasting assistant.

Historical daily demand (kWh) for the past 7 days: [1566.1, 1585.4, 1576.8, 1542.2, 1188.3, 1118.0, 1501.5]
Context for tomorrow: Date: 2023-01-10. Winter weekday. Average temperature: 33.9°F (cold). Standard operations. Weather-driven variation expected.

Question: What is the predicted total charging demand (kWh) for tomorrow? Provide a number and a brief explanation.",1573.01,Predicted demand: 1573.0 kWh. Based on the 7-day average of 1439.7 kWh and contextual factors including none conditions.,none
2023-01-11,"You are an EV charging demand forecasting assistant.

Historical daily demand (kWh) for the past 7 days: [1585.4, 1576.8, 1542.2, 1188.3, 1118.0, 1501.5, 1548.0]
Context for tomorrow: Date: 2023-01-11. Winter weekday. Average temperature: 32.7°F (cold). Standard operations. Weather-driven variation expected.

Question: What is the predicted total charging demand (kWh) for tomorrow? Provide a number and a brief explanation.",1522.29,Predicted demand: 1522.3 kWh. Based on the 7-day average of 1437.2 kWh and contextual factors including none conditions.,none
2023-01-12,"You are an EV charging demand forecasting assistant.

Historical daily demand (kWh) for the past 7 days: [1576.8, 1542.2, 1188.3, 1118.0, 1501.5, 1548.0, 1573.0]
Context for tomorrow: Date: 2023-01-12. Winter weekday. Average temperature: 33.4°F (cold). Standard operations. Weather-driven variation expected.

Question: What is the predicted total charging demand (kWh) for tomorrow? Provide a number and a brief explanation.",1586.4,Predicted demand: 1586.4 kWh. Based on the 7-day average of 1435.4 kWh and contextual factors including none conditions.,none
2023-01-13,"You are an EV charging demand forecasting assistant.

Historical daily demand (kWh) for the past 7 days: [1542.2, 1188.3, 1118.0, 1501.5, 1548.0, 1573.0, 1522.3]
Context for tomorrow: Date: 2023-01-13. Winter weekday. Average temperature: 32.6°F (cold). Regular weekday. Normal commuting and commercial activity expected.

Question: What is the predicted total charging demand (kWh) for tomorrow? Provide a number and a brief explanation.",1196.75,Predicted demand: 1196.8 kWh. Based on the 7-day average of 1427.6 kWh and contextual factors including none conditions.,none
2023-01-14,"You are an EV charging demand forecasting assistant.

Historical daily demand (kWh) for the past 7 days: [1188.3, 1118.0, 1501.5, 1548.0, 1573.0, 1522.3, 1586.4]
Context for tomorrow: Date: 2023-01-14. Winter weekend. Average temperature: 32.5°F (cold). Standard operations. Weather-driven variation expected.

Question: What is the predicted total charging demand (kWh) for tomorrow? Provide a number and a brief explanation.",1232.18,Predicted demand: 1232.2 kWh. Based on the 7-day average of 1433.9 kWh and contextual factors including none conditions.,none
2023-01-15,"You are an EV charging demand forecasting assistant.

Historical daily demand (kWh) for the past 7 days: [1118.0, 1501.5, 1548.0, 1573.0, 1522.3, 1586.4, 1196.8]
Context for tomorrow: Date: 2023-01-15. Winter weekend. Average temperature: 33.7°F (cold). Typical day. No special events. Demand follows seasonal baseline.

Question: What is the predicted total charging demand (kWh) for tomorrow? Provide a number and a brief explanation.",1007.0,Predicted demand: 1007.0 kWh. Based on the 7-day average of 1435.1 kWh and contextual factors including none conditions.,none
2023-01-16,"You are an EV charging demand forecasting assistant.

Historical daily demand (kWh) for the past 7 days: [1501.5, 1548.0, 1573.0, 1522.3, 1586.4, 1196.8, 1232.2]
Context for tomorrow: Date: 2023-01-16. Winter weekday. Average temperature: 33.6°F (cold). Public holiday today. Reduced commercial activity; residential demand dominant.

Question: What is the predicted total charging demand (kWh) for tomorrow? Provide a number and a brief explanation.",1572.2,Predicted demand: 1572.2 kWh. Based on the 7-day average of 1451.4 kWh and contextual factors including holiday conditions.,holiday
2023-01-17,"You are an EV charging demand forecasting assistant.

Historical daily demand (kWh) for the past 7 days: [1548.0, 1573.0, 1522.3, 1586.4, 1196.8, 1232.2, 1007.0]
Context for tomorrow: Date: 2023-01-17. Winter weekday. Average temperature: 34.5°F (cold). Regular weekday. Normal commuting and commercial activity expected.

Question: What is the predicted total charging demand (kWh) for tomorrow? Provide a number and a brief explanation.",1577.22,Predicted demand: 1577.2 kWh. Based on the 7-day average of 1380.8 kWh and contextual factors including none conditions.,none
